session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
2371,50,34,34,50,18,17,131,34,50,267,39
2372,478,352,478,18,17,50,34,131,50,34,39
2373,267,5,50,34,131,50,50,34,273,131,39
2374,50,3829,601,34,34,854,34,350,350,1173,39
2375,34,34,34,34,34,34,34,34,34,34,39
2376,34,50,50,34,50,50,34,273,131,5,39
2377,34,34,34,50,352,267,34,131,50,50,39
2378,273,34,34,50,10,6,50,34,273,5,39
2379,50,34,50,34,131,5,37,24,24,50,39
2380,34,50,34,131,478,34,267,50,44,17,39
2381,478,326,50,18,326,326,50,5,131,273,39
2382,326,50,34,326,326,326,34,5,34,34,39
2383,34,34,34,34,34,34,5,34,5,34,39
2384,34,34,50,5,15,5,5,116,5,5,39
2385,5,5,2,62,54,54,142,54,62,86,39
2386,154,154,31,691,1862,1291,1861,822,716,1033,39
2387,154,963,962,872,482,321,154,321,154,116,39
2388,154,154,3,154,2,321,154,1622,1291,154,39
2389,2746,2747,2742,691,482,13,154,321,154,1424,39
2390,154,154,321,1424,154,1424,321,1424,154,154,39
2391,691,154,321,154,321,3830,691,154,691,154,39
2392,321,154,321,154,154,154,321,154,154,154,39
2393,3831,1623,1863,18,44,2748,17,1623,22,1863,39
2394,107,107,5,1623,85,2749,20,2749,1417,319,39
2395,319,319,206,319,206,85,80,206,206,206,39
2396,206,116,6,10,206,206,206,206,206,206,39
2397,319,319,206,116,6,307,66,49,49,66,39
2398,49,66,49,66,49,66,116,3832,4,116,39
2399,24,37,2,3,15,116,107,307,116,3,39
2400,10,27,4,21,116,484,3833,740,484,484,39
2401,116,692,3,409,484,484,484,484,116,692,39
2402,116,484,484,484,116,24,37,484,484,230,39
2403,484,484,484,484,484,484,484,484,484,484,39
2404,484,484,484,116,15,72,2,1864,22,2750,39
2405,2230,3834,22,67,2231,2230,1864,2230,2750,2231,39
2406,20,149,1103,22,3,16,2,116,116,484,39
2407,484,484,484,484,484,2,5,5,5,5,39
2408,116,213,2,446,446,1865,22,2751,18,44,39
2409,76,590,446,17,296,1865,590,446,76,2,39
2410,3,519,5,446,76,76,3835,3836,416,446,39
2411,1079,217,217,1156,446,2110,446,446,446,446,39
2412,116,20,446,304,446,536,2752,590,76,418,39
2413,3,2,488,937,76,76,3837,534,534,446,39
2414,446,76,76,446,3,2,446,446,446,76,39
2415,446,446,446,10,6,116,116,24,37,116,39
2416,107,116,307,116,41,230,95,156,24,37,39
2417,15,72,489,15,15,15,15,15,39,537,39
2418,15,21,10,27,3,543,41,184,107,52,39
2419,41,52,304,82,41,41,184,85,187,70,39
2420,82,912,165,70,284,70,70,334,159,45,39
2421,45,156,403,116,116,490,99,116,2753,97,39
2422,403,156,95,156,307,307,6,51,544,116,39
2423,490,3838,116,2753,3839,403,3840,99,156,95,39
2424,444,77,444,489,307,307,51,1426,124,209,39
2425,420,4,15,15,95,124,307,403,307,30,39
2426,10,3,33,6,116,39,284,99,284,284,39
2427,403,156,77,1426,51,9,1621,6,77,1426,39
2428,51,124,37,24,24,116,780,749,5,38,39
2429,445,508,112,259,336,445,749,124,960,686,39
2430,50,31,34,685,478,34,18,44,17,50,39
2431,5,1790,2754,131,50,34,34,267,478,50,39
2432,34,50,478,18,17,131,50,50,34,95,39
2433,34,34,34,34,34,34,34,5,267,478,39
2434,34,50,17,50,478,18,34,131,5,34,39
2435,34,34,34,34,34,34,34,34,34,34,39
2436,34,34,34,34,34,34,50,267,478,34,39
2437,478,44,50,18,17,131,50,34,273,5,39
2438,10,6,34,34,34,34,34,50,116,50,39
2439,50,50,50,124,50,34,34,50,34,273,39
2440,267,352,5,273,131,34,50,3841,211,254,39
2441,85,493,493,493,107,67,493,107,2232,493,39
2442,1282,116,20,493,493,493,20,493,52,1103,39
2443,22,404,20,1103,116,20,20,1103,20,1103,39
2444,1103,20,20,493,116,20,3,124,34,34,39
2445,116,116,154,691,1861,1291,321,963,1862,962,39
2446,716,1033,822,482,31,154,872,154,321,154,39
2447,154,154,321,482,872,963,1291,691,716,3842,39
2448,1622,154,154,154,962,3843,2755,716,482,321,39
2449,154,1622,154,154,124,154,321,154,154,154,39
2450,2746,482,321,691,154,2747,154,154,154,116,39
2451,37,24,116,99,45,45,70,70,159,70,39
2452,124,70,156,95,284,70,70,70,45,70,39
2453,45,156,230,493,493,15,72,2,2233,280,39
2454,227,3844,2756,227,280,2233,5,22,3845,31,39
2455,218,22,3846,3,15,2233,2756,20,124,544,39
2456,20,1103,20,2,6,10,107,20,52,85,39
2457,70,912,22,230,70,70,45,70,70,490,39
2458,99,116,116,403,95,3,116,2,613,44,39
2459,18,5,106,17,106,106,238,173,80,2234,39
2460,613,613,17,18,5,775,4,613,18,5,39
2461,17,3,2,10,5,18,613,17,18,17,39
2462,5,613,116,116,6,116,24,37,116,116,39
2463,124,15,77,1426,51,9,1621,6,124,116,39
2464,37,24,77,489,95,77,1426,51,116,124,39
2465,116,15,489,1426,77,2757,51,124,116,15,39
2466,72,2,2758,103,3,1175,2758,3,136,103,39
2467,15,2235,5,116,107,3,2,408,3,36,39
2468,2228,157,36,3,15,590,342,5,67,77,39
2469,157,3,36,3,193,85,218,85,157,3,39
2470,36,3,36,4,6,105,124,116,37,24,39
2471,24,284,41,184,52,41,52,304,41,156,39
2472,3,408,36,408,36,457,36,3,82,87,39
2473,5,15,259,172,230,116,544,156,105,95,39
2474,97,4,15,36,36,72,36,3,157,87,39
2475,15,128,293,333,251,87,15,15,15,15,39
2476,4,15,37,24,15,105,21,27,3,30,39
2477,10,33,4,6,124,3,15,2,3,124,39
2478,27,4,489,21,10,3,544,60,60,60,39
2479,60,265,67,41,543,107,184,52,41,304,39
2480,41,41,184,82,284,82,67,912,165,70,39
2481,70,70,70,403,116,490,99,458,458,116,39
2482,284,97,156,39,444,444,156,444,156,458,39
2483,458,490,99,116,24,37,403,95,307,307,39
2484,80,99,307,85,99,52,95,116,85,187,39
2485,458,458,403,116,99,70,70,334,70,284,39
2486,159,458,156,97,70,70,45,490,70,458,39
2487,458,458,116,99,403,403,403,95,686,685,39
2488,50,34,31,72,15,18,34,50,17,44,39
2489,131,34,50,34,50,34,34,34,34,34,39
2490,34,34,34,34,34,34,34,34,50,267,39
2491,352,50,17,50,34,18,131,34,34,34,39
2492,34,34,34,50,307,6,34,34,50,267,39
2493,34,50,352,18,17,131,5,50,34,273,39
2494,3847,549,217,307,50,15,15,15,2,15,39
2495,138,112,213,3,313,6,2,780,38,445,39
2496,749,5,15,259,112,508,445,749,5,204,39
2497,497,497,44,497,18,445,204,17,5,518,39
2498,445,204,567,445,508,80,5,246,2759,781,39
2499,614,31,15,496,1179,681,3848,3,2760,3849,39
2500,1427,1179,629,2761,2762,1427,15,1179,781,496,39
2501,781,681,3850,1427,1179,37,24,24,1179,781,39
2502,681,3851,581,776,1427,1179,496,10,497,657,39
2503,3,6,208,77,209,4,420,15,15,307,39
2504,21,27,2,30,33,95,458,444,6,41,39
2505,41,41,156,156,97,458,82,116,307,156,39
2506,21,10,3,99,4,9,95,403,444,27,39
2507,2,2763,2236,2763,2764,3852,2236,2765,2766,1866,39
2508,3853,1428,1866,2765,1866,3854,1027,1428,1027,1866,39
2509,1428,2236,3855,2764,2766,3,2,6,39,72,39
2510,15,15,2,2,138,112,37,24,24,3,39
2511,2,537,351,505,351,39,67,72,15,5,39
2512,780,445,112,259,38,749,5,15,508,445,39
2513,15,204,44,5,17,749,445,18,508,204,39
2514,5,518,567,204,445,5,17,497,497,497,39
2515,5,18,567,497,445,497,204,497,445,508,39
2516,80,5,445,304,858,3856,128,212,128,5,39
2517,212,203,2,3,246,128,212,67,37,24,39
2518,24,24,3,10,6,39,2,873,873,1180,39
2519,3,15,873,1180,873,873,1180,302,302,410,39
2520,555,1036,555,410,302,1294,31,1867,106,106,39
2521,2767,238,80,3,2,6,80,85,52,52,39
2522,109,109,109,109,109,109,109,109,109,109,39
2523,109,109,109,109,109,109,109,109,109,109,39
2524,109,109,109,109,109,109,109,109,109,109,39
2525,109,109,109,109,109,109,109,109,109,109,39
2526,109,109,109,109,109,109,109,109,109,109,39
2527,109,109,109,109,109,109,109,109,109,109,39
2528,109,109,109,109,109,109,109,109,109,109,39
2529,109,109,109,109,109,109,109,109,109,1104,39
2530,109,109,109,109,109,109,109,109,109,109,39
2531,109,109,109,109,109,109,109,37,24,1104,39
2532,1104,537,2,138,112,3,2,109,109,109,39
2533,178,3,44,178,18,17,3,3,15,5,39
2534,178,2768,178,2768,3,5,64,178,3,3,39
2535,15,64,64,178,18,3,17,3,15,5,39
2536,178,64,3,5,178,3,15,343,64,64,39
2537,3,345,105,81,160,311,167,182,164,164,39
2538,160,167,61,93,93,93,93,93,37,24,39
2539,24,81,43,17,18,5,5,178,64,3,39
2540,15,3,178,203,64,17,18,5,178,178,39
2541,5,3,64,3,15,64,193,64,178,3,39
2542,64,5,3,15,64,64,178,3,5,3,39
2543,15,128,3,64,178,64,3,5,106,15,39
2544,3,106,3857,64,64,178,64,3,5,3,39
2545,15,3,64,5,178,64,3,3,15,64,39
2546,5,3,178,64,3,15,64,64,64,5,39
2547,3,178,3,15,64,3,5,178,64,15,39
2548,5,3,64,178,64,3,5,15,64,64,39
2549,345,15,72,3858,2,105,3,178,5,64,39
2550,15,3,2237,3,5,2237,3859,2,2,3,39
2551,105,2,119,31,175,283,175,283,297,52,39
2552,85,498,369,2,3,64,178,5,3,15,39
2553,64,64,119,105,2,2,3860,2,130,1429,39
2554,31,2238,2239,3861,2238,1868,2239,130,53,18,39
2555,44,17,22,2239,2238,107,15,107,5,1869,39
2556,20,37,24,24,2,6,10,53,112,138,39
2557,192,138,112,823,60,67,60,60,265,543,39
2558,107,184,41,41,52,304,82,41,41,184,39
2559,85,41,70,187,216,216,82,67,216,912,39
2560,165,284,2769,159,334,45,70,70,70,45,39
2561,45,70,70,138,112,116,116,249,97,490,39
2562,99,403,116,458,15,72,403,15,458,2,39
2563,15,138,403,37,24,24,24,156,156,156,39
2564,444,444,95,2,263,263,263,80,80,39,39
2565,263,263,116,313,6,80,3,2,490,116,39
2566,458,458,99,95,307,85,52,458,458,403,39
2567,116,95,307,458,458,403,116,2,17,613,39
2568,44,18,15,238,80,106,5,613,17,613,39
2569,18,5,3,15,613,5,17,18,613,18,39
2570,5,17,458,458,3,2,10,6,37,24,39
2571,116,307,307,95,490,99,307,403,458,458,39
2572,156,307,444,95,444,458,458,156,99,458,39
2573,458,156,613,44,18,17,5,613,17,5,39
2574,18,613,17,5,18,613,18,5,17,17,39
2575,613,18,5,230,6,3862,2770,3863,2,22,39
2576,2,5,2770,107,116,1623,17,1623,5,15,39
2577,18,2748,1863,1863,20,3,2,6,10,17,39
2578,18,5,18,5,17,613,17,5,18,613,39
2579,17,18,5,613,17,18,5,613,44,5,39
2580,18,17,37,24,613,5,18,17,5,17,39
2581,18,116,107,6,230,458,458,284,209,2228,39
2582,36,408,3,36,3,157,92,15,408,87,39
2583,5,72,36,36,3,92,157,87,36,3,39
2584,92,85,218,85,18,44,3,15,17,178,39
2585,5,178,178,178,178,17,178,3,18,15,39
2586,5,178,5,64,3,15,3,64,64,5,39
2587,15,178,3,18,17,178,3,64,5,3,39
2588,15,178,106,112,106,2240,2118,259,230,178,39
2589,64,3,3,64,15,5,178,64,64,36,39
2590,3,408,92,3,457,36,92,3,36,15,39
2591,3,36,3,36,92,300,300,36,5,654,39
2592,212,479,746,36,92,3,3,87,246,251,39
2593,246,87,87,36,92,3,36,333,345,178,39
2594,3,31,105,178,3,157,92,36,378,3,39
2595,170,378,170,36,170,3,92,157,3,36,39
2596,203,87,128,343,87,36,3,92,3,36,39
2597,105,116,37,24,109,109,109,109,109,109,39
2598,109,109,109,109,109,109,109,109,109,109,39
2599,458,490,230,116,458,458,116,444,95,444,39
2600,15,2,36,3,36,92,36,342,193,689,39
2601,2,103,136,2718,2716,2717,916,3,103,1852,39
2602,689,2235,2,1295,103,1295,2,2241,2241,2241,39
2603,116,2,3,105,116,116,41,184,41,52,39
2604,304,52,156,82,692,2,692,3,230,116,39
2605,692,95,466,97,156,3,213,2,66,49,39
2606,66,66,49,109,109,24,37,2,3,92,39
2607,36,87,36,3,92,36,3,3,92,87,39
2608,2,3,105,49,2,69,49,2,31,175,39
2609,524,283,2,283,524,175,297,52,283,297,39
2610,498,369,2,692,692,692,692,119,692,692,39
2611,692,3,2,24,37,2,108,15,5,22,39
2612,384,117,2,72,90,73,108,1289,90,73,39
2613,117,44,18,5,22,17,90,2,296,402,39
2614,101,5,36,108,117,3864,92,3,3,36,39
2615,157,170,378,36,300,378,170,170,2,108,39
2616,117,194,5,108,561,18,402,5,17,117,39
2617,2,2,916,103,689,103,1295,2235,20,2,39
2618,31,105,37,24,49,15,36,2,3,92,39
2619,157,300,2,1430,31,1288,227,280,3865,1430,39
2620,218,2242,5,1430,3866,3867,2,52,18,5,39
2621,22,17,44,1430,15,1430,5,67,1430,22,39
2622,20,1181,3868,2242,1182,200,2242,22,2,2,39
2623,22,1181,280,227,1105,2771,44,1181,18,5,39
2624,17,1181,1181,1181,22,1181,105,20,213,2,39
2625,6,10,3,66,49,66,49,66,49,2,39
2626,2772,276,248,222,276,1022,5,2772,276,130,39
2627,44,22,18,17,175,5,2,304,53,524,39
2628,175,297,276,20,119,2,10,6,3,92,39
2629,3,36,157,3,293,87,87,157,3,36,39
2630,92,3,36,67,36,5,2,659,658,659,39
2631,658,67,659,824,31,824,589,659,296,2,39
2632,825,825,105,825,66,49,49,66,2,10,39
2633,6,66,49,66,49,49,66,24,37,62,39
2634,2,54,54,142,86,62,2,175,524,49,39
2635,5,175,283,2,283,297,119,2,1296,2,39
2636,1296,2773,2,1296,288,3869,1296,3,1296,127,39
2637,1296,107,2773,127,127,1296,660,10,6,15,39
2638,4,420,15,15,10,21,27,30,3,6,39
2639,33,9,39,254,66,49,2,27,21,10,39
2640,3,4,80,67,60,60,543,41,60,107,39
2641,184,52,304,60,41,52,265,41,41,184,39
2642,82,85,41,216,216,82,187,67,24,37,39
2643,24,165,334,99,284,159,230,70,2769,95,39
2644,249,97,70,45,45,70,70,156,70,187,39
2645,284,45,70,45,70,39,70,230,70,85,39
2646,525,525,525,52,1870,13,1261,244,38,1870,39
2647,280,13,1870,3,2774,19,81,244,167,182,39
2648,164,160,311,2774,61,1870,38,19,3,966,39
2649,966,966,966,966,81,43,525,39,239,69,39
2650,239,69,69,612,239,69,36,408,3,157,39
2651,92,3,15,72,590,3,408,36,92,36,39
2652,157,3,15,36,3,119,36,92,378,170,39
2653,170,378,3,36,92,36,378,170,170,36,39
2654,3,92,1871,36,3,36,92,36,87,5,39
2655,128,15,117,90,108,384,561,2,22,67,39
2656,5,107,5,22,296,15,402,296,15,18,39
2657,22,5,44,108,90,117,101,17,5,117,39
2658,87,20,2,2,1851,1851,37,24,105,36,39
2659,92,3,36,3,36,92,36,213,31,6,39
2660,10,2,3,66,49,105,66,49,66,49,39
2661,66,49,66,49,36,92,3,92,3,36,39
2662,36,92,36,3,66,49,49,66,66,49,39
2663,66,49,49,66,66,49,49,66,49,66,39
2664,66,49,66,49,66,49,49,66,49,66,39
2665,66,66,49,49,105,1431,1431,1431,1431,1431,39
2666,1431,49,66,66,49,66,49,66,49,66,39
2667,49,49,66,66,49,66,49,49,66,66,39
2668,49,66,49,66,49,2,2775,103,3,103,39
2669,2775,136,36,3,92,408,157,36,157,92,39
2670,119,3,36,36,3,92,87,87,36,3,39
2671,92,36,3,92,36,3,92,36,3,92,39
2672,37,24,24,3,2,105,92,3,119,36,39
2673,37,568,5,36,3,92,36,300,300,36,39
2674,3,92,87,87,36,3,92,300,36,36,39
2675,3,92,300,36,3,92,36,87,300,87,39
2676,36,3,92,5,105,37,24,49,66,49,39
2677,66,66,49,66,49,66,49,66,49,15,39
2678,72,2,1872,31,1872,3,213,2,66,49,39
2679,24,37,780,445,5,112,508,749,38,445,39
2680,259,445,749,10,6,66,49,107,70,66,39
2681,49,37,24,24,184,37,24,24,85,230,39
2682,45,70,230,24,37,184,107,184,41,70,39
2683,229,52,304,52,82,466,95,230,15,72,39
2684,80,2,36,3,157,36,92,3,87,5,39
2685,15,128,3,15,87,87,92,3,36,157,39
2686,2776,17,13,2776,38,18,5,3,44,38,39
2687,2,13,38,343,19,36,92,3,457,5,39
2688,212,654,479,746,36,3,92,457,85,36,39
2689,333,218,342,203,85,251,36,3,92,193,39
2690,36,36,3,92,293,259,36,128,36,3,39
2691,36,92,36,87,172,85,87,36,3,92,39
2692,5,67,6,3,2,52,105,2,36,3,39
2693,92,87,36,87,87,36,36,92,3,2,39
2694,3,58,31,58,3,136,58,344,526,3,39
2695,58,105,2,2,36,3,157,92,5,36,39
2696,52,218,36,3,157,92,87,36,87,2,39
2697,105,36,92,36,3,36,3,87,87,36,39
2698,92,3,87,36,87,36,3,92,300,36,39
2699,2,2777,2777,2,3870,105,2,36,3,92,39
2700,87,87,36,3,92,105,15,2,36,92,39
2701,3,87,2,5,87,87,36,3,92,36,39
2702,92,3,36,1101,36,36,92,3,36,3,39
2703,2,105,2,2778,31,2778,106,3871,245,3872,39
2704,106,2,3873,1432,1432,2,677,943,330,2,39
2705,58,3,58,58,943,58,677,499,15,330,39
2706,330,72,677,874,636,750,708,826,917,827,39
2707,677,678,718,750,874,677,44,827,677,17,39
2708,5,18,874,218,330,917,750,827,330,128,39
2709,5,128,212,67,128,1873,3,2,5,67,39
2710,330,967,457,193,330,967,868,5,967,330,39
2711,942,499,2,499,693,718,499,678,718,499,39
2712,499,499,1183,499,499,499,499,499,2,1105,39
2713,1181,2771,280,227,44,1105,2,1105,1105,18,39
2714,214,17,1105,87,5,1105,1105,1105,117,2,39
2715,384,108,15,5,22,90,90,108,1289,73,39
2716,107,90,90,90,73,117,22,108,5,17,39
2717,101,18,90,402,296,5,117,90,20,499,39
2718,499,499,499,499,31,499,499,499,499,499,39
2719,499,499,499,499,499,499,36,3,157,92,39
2720,3,36,3,92,157,36,3,92,36,105,39
2721,15,2,36,36,36,3,92,300,36,36,39
2722,2,3874,3,2,105,2,611,649,649,353,39
2723,2243,353,611,263,2,263,263,263,263,80,39
2724,80,263,263,263,263,31,3,2,263,263,39
2725,353,499,36,3,92,36,105,80,67,67,39
2726,577,823,15,72,37,24,24,15,2,561,39
2727,384,108,117,5,107,18,22,101,5,44,39
2728,402,17,296,5,101,20,537,3,2,80,39
2729,67,420,4,15,72,15,15,39,15,15,39
2730,67,21,27,3,30,9,10,24,33,37,39
2731,24,2,384,690,108,90,117,22,5,108,39
2732,90,15,296,107,90,67,5,108,402,17,39
2733,44,18,5,101,90,22,591,591,5,117,39
2734,875,591,1037,875,67,1037,875,3,786,2779,39
2735,2780,1874,1264,20,39,254,31,6,10,85,39
2736,213,9,2,3,52,9,109,109,109,109,39
2737,9,164,81,311,182,167,182,167,164,160,39
2738,43,81,2,36,36,3,36,157,92,3,39
2739,3,36,300,36,157,92,3,5,3,5,39
2740,15,36,36,92,3,36,87,300,24,37,39
2741,2,213,9,87,10,105,9,66,49,112,39
2742,138,6,49,66,49,66,9,9,2,92,39
2743,3,36,36,3,300,4,36,3,92,3,39
2744,170,378,37,24,170,378,24,170,36,3,39
2745,92,378,170,378,170,170,3,36,92,3,39
2746,300,36,3,3,92,6,10,80,80,105,39
2747,263,263,9,6,1417,319,319,319,319,85,39
2748,206,107,206,244,244,9,206,206,319,319,39
2749,206,24,37,9,9,72,15,15,15,15,39
2750,9,3,10,23,6,51,77,51,9,1297,39
2751,2244,23,960,50,31,685,686,34,50,17,39
2752,34,44,18,5,479,50,34,212,22,50,39
2753,34,131,67,5,34,50,34,34,34,20,39
2754,51,5,5,5,34,5,50,31,686,685,39
2755,34,50,17,50,34,44,18,50,34,22,39
2756,34,131,50,34,5,5,352,267,34,50,39
2757,50,18,34,17,131,50,34,273,5,34,39
2758,34,34,34,34,34,34,34,34,20,34,39
2759,34,34,34,34,34,34,50,50,50,24,39
2760,37,24,50,6,34,50,34,50,44,267,39
2761,34,267,18,17,131,50,50,18,273,5,39
2762,17,131,5,50,5,273,51,4,5,306,39
2763,50,34,6,50,51,9,780,445,5,259,39
2764,445,38,749,112,1184,1184,508,445,749,336,39
2765,5,336,336,445,508,465,2245,336,336,336,39
2766,336,2725,655,1609,5,17,655,22,44,2726,39
2767,204,31,18,5,655,518,204,655,204,567,39
2768,655,5,655,567,655,655,5,655,567,20,39
2769,5,655,124,6,10,51,112,709,259,1875,39
2770,17,5,1875,1875,44,592,124,17,5,1875,39
2771,784,3,29,6,10,592,23,28,9,2,39
2772,31,784,51,24,37,24,124,322,23,9,39
2773,51,544,323,124,51,6,41,107,184,52,39
2774,41,304,52,41,41,184,85,41,187,82,39
2775,165,284,99,334,159,112,138,459,138,70,39
2776,70,70,459,45,1298,45,70,45,748,229,39
2777,15,72,249,97,2,156,593,200,593,593,39
2778,440,593,389,593,188,200,440,188,188,188,39
2779,1185,1876,389,188,188,389,440,44,200,188,39
2780,18,188,5,389,17,188,440,188,200,188,39
2781,389,188,188,188,188,200,440,188,389,124,39
2782,1185,440,3,188,1185,200,188,389,2,459,39
2783,70,1298,51,229,9,188,188,200,440,389,39
2784,188,99,188,440,200,389,188,70,188,440,39
2785,200,188,188,389,41,70,229,82,748,70,39
2786,70,70,70,70,45,216,95,466,124,2,39
2787,244,18,17,44,5,1877,1877,17,5,18,39
2788,1877,1877,18,5,17,24,37,2,15,1249,39
2789,19,38,4,51,209,637,3875,15,13,124,39
2790,9,2781,10,15,9,30,544,51,3,2,39
2791,2782,85,85,52,218,2783,2246,2782,2246,2247,39
2792,2248,346,346,2247,23,2248,2247,346,2248,2783,39
2793,2246,346,346,28,346,346,346,346,2249,346,39
2794,6,346,346,223,1186,346,3,1186,346,1186,39
2795,346,346,1186,1186,1186,346,1186,1186,346,346,39
2796,346,346,2784,346,346,346,346,213,2,9,39
2797,346,3,445,5,1184,508,5,445,1184,296,39
2798,2759,1179,31,15,681,3876,3,614,496,781,39
2799,2760,1427,1179,629,2761,2762,1427,3,15,2,39
2800,323,496,10,3,77,581,657,21,27,497,39
2801,4,6,208,15,420,4,15,15,15,21,39
2802,27,33,30,3,9,10,23,6,51,77,39
2803,2,27,21,10,3,323,544,4,124,60,39
2804,60,80,67,15,72,15,15,37,24,24,39
2805,24,15,15,60,60,15,15,67,41,543,39
2806,107,184,52,41,52,52,304,41,82,41,39
2807,184,85,82,107,107,107,107,107,107,52,39
2808,165,660,99,284,660,334,159,21,27,537,39
2809,30,3877,230,229,33,3,39,9,187,97,39
2810,124,23,6,10,544,156,138,112,138,459,39
2811,2204,2204,459,1298,209,45,3,3,70,45,39
2812,70,77,1024,748,229,15,1024,3878,459,70,39
2813,379,138,379,459,379,459,379,379,379,379,39
2814,379,379,379,379,379,379,51,379,459,459,39
2815,379,459,459,85,41,70,229,82,230,70,39
2816,70,45,70,70,284,2,593,593,200,440,39
2817,593,389,389,593,95,213,52,188,188,593,39
2818,593,200,440,593,389,593,188,188,200,440,39
2819,1185,1876,188,389,188,440,200,389,23,124,39
2820,188,3,188,440,188,200,389,188,51,2,39
2821,389,188,188,188,44,440,17,18,188,200,39
2822,389,6,5,188,440,200,389,188,9,124,39
2823,10,6,49,2,69,49,49,51,49,3,39
2824,9,2,49,9,51,49,49,37,24,24,39
2825,124,51,9,51,9,960,31,34,686,685,39
2826,50,50,34,44,50,34,18,17,131,34,39
2827,50,1008,5,50,34,5,50,50,267,50,39
2828,34,50,326,17,18,326,34,50,326,343,39
2829,50,34,5,131,50,34,19,34,5,34,39
2830,34,34,34,34,34,34,124,39,1293,6,39
2831,30,544,23,9,51,24,37,4,323,23,39
2832,51,9,124,15,72,1297,23,51,34,50,39
2833,18,44,17,34,50,131,293,50,34,5,39
2834,3879,767,767,534,50,267,326,326,131,50,39
2835,34,5,67,15,2,15,323,124,51,3,39
2836,9,2,10,21,27,4,544,80,37,24,39
2837,24,39,39,15,72,15,543,107,41,184,39
2838,52,41,52,304,82,15,15,41,41,184,39
2839,85,82,41,229,70,525,525,82,165,45,39
2840,70,70,99,334,70,70,159,284,21,27,39
2841,70,30,6,9,10,3,33,187,95,97,39
2842,69,69,161,33,9,505,351,24,37,24,39
2843,9,49,66,109,109,109,109,2,188,44,39
2844,188,200,188,440,188,18,188,5,389,188,39
2845,17,188,440,17,18,200,389,6,188,5,39
2846,440,188,17,200,18,389,5,188,440,200,39
2847,188,389,188,188,593,593,440,593,200,440,39
2848,389,593,188,593,440,200,389,188,188,1876,39
2849,1185,188,188,200,440,1185,188,389,188,389,39
2850,188,440,200,389,188,188,188,389,200,440,39
2851,188,37,24,24,188,440,200,389,188,188,39
2852,188,200,188,440,440,389,188,200,18,188,39
2853,17,389,5,9,2,3,15,2,875,786,39
2854,875,218,1037,3880,875,3,2779,1037,2780,67,39
2855,1874,3881,3882,1874,1037,875,31,2250,112,2251,39
2856,2250,1037,2250,875,10,875,31,2785,1037,2252,39
2857,644,80,644,875,44,2252,17,18,875,2252,39
2858,1874,1433,31,2251,1433,875,2251,1433,875,1433,39
2859,1433,1433,398,398,1037,398,1434,398,6,1037,39
2860,398,3,2,9,31,4,398,398,398,4,39
2861,4,6,4,420,69,239,239,69,612,69,39
2862,239,69,69,161,81,167,160,182,311,164,39
2863,182,164,167,160,61,93,93,93,93,93,39
2864,93,93,93,93,93,93,61,61,548,61,39
2865,61,61,93,61,61,244,61,41,209,81,39
2866,43,43,525,244,72,15,15,2,244,1614,39
2867,2,178,15,64,5,178,3,178,3,15,39
2868,64,64,106,15,178,5,3,64,106,203,39
2869,259,296,112,64,64,6,77,2,3,345,39
2870,37,24,105,537,80,37,24,24,209,72,39
2871,3,15,15,2,873,1180,873,3,15,873,39
2872,1180,106,106,112,238,2786,259,873,873,1180,39
2873,302,302,410,555,1036,410,410,410,555,828,39
2874,302,31,31,828,302,22,410,5,6,410,39
2875,15,22,302,15,193,410,1299,107,1299,1878,39
2876,1624,85,302,22,20,2,3,117,2,690,39
2877,15,117,5,108,90,90,384,22,5,90,39
2878,22,108,108,90,1289,52,5,52,214,22,39
2879,44,5,90,117,108,17,87,90,101,18,39
2880,5,402,5,296,117,22,87,20,3,2,39
2881,31,6,10,107,41,543,184,52,41,52,39
2882,304,82,41,41,184,85,82,165,99,70,39
2883,70,45,70,45,45,334,230,70,159,748,39
2884,70,284,156,187,156,97,70,3883,419,902,39
2885,419,248,248,2787,2787,229,2,92,36,3,39
2886,2,36,3,157,128,330,19,677,943,342,39
2887,15,333,5,293,331,67,293,677,677,678,39
2888,636,708,826,718,827,677,750,874,917,5,39
2889,654,36,212,874,750,479,457,746,330,44,39
2890,218,3,17,330,5,157,92,18,5,85,39
2891,128,230,128,73,67,36,128,193,218,203,39
2892,1873,212,193,967,330,5,128,85,3,2,39
2893,128,457,967,967,868,967,330,942,70,36,39
2894,3,36,92,36,73,343,52,203,251,70,39
2895,246,259,331,45,70,70,45,70,172,36,39
2896,3,92,457,73,36,36,3,92,73,36,39
2897,36,3,92,73,36,36,3,92,331,73,39
2898,36,693,718,3,2,1183,331,331,331,230,39
2899,331,105,331,678,718,678,826,331,331,331,39
2900,331,37,24,24,331,331,331,331,331,331,39
2901,331,331,331,331,331,331,331,331,331,331,39
2902,331,331,331,331,331,331,331,331,331,331,39
2903,331,37,24,331,331,420,72,15,4,15,39
2904,15,15,15,15,107,184,41,184,70,229,39
2905,52,304,82,230,70,21,10,27,30,33,39
2906,6,3,124,9,77,24,37,24,51,138,39
2907,112,266,454,67,454,218,218,421,323,266,39
2908,266,454,421,3884,166,166,166,3885,166,166,39
2909,166,44,22,166,6,18,166,17,5,22,39
2910,166,22,5,166,166,166,166,166,166,166,39
2911,166,22,166,264,166,244,264,22,264,17,39
